Traceback (most recent call last):
  File "demo_detectron2_deepsort.py", line 6, in <module>
    import cv2
ModuleNotFoundError: No module named 'cv2'
[5m[31mWARNING[0m [32m[06/11 23:29:32 d2.config.compat]: [0mConfig 'detectron2/configs/COCO-InstanceSegmentation/mask_rcnn_R_101_FPN_3x.yaml' has no VERSION. Assuming it to be compatible with latest v2.
Loading weights from deep_sort/deep/checkpoint/ckpt.t7... Done!
time: 4.874965667724609s, fps: 0.20512964975746178
time: 4.923620223999023s, fps: 0.20310258600485395
time: 4.942818641662598s, fps: 0.20231371460224842
time: 5.462858438491821s, fps: 0.18305434989014263
time: 5.001017808914185s, fps: 0.19995929592922584
time: 5.609320640563965s, fps: 0.17827470812926452
time: 6.073871374130249s, fps: 0.16463964058560518
time: 5.358688831329346s, fps: 0.18661281359603168
time: 5.205154657363892s, fps: 0.19211725026945536
time: 5.221436500549316s, fps: 0.19151817701791374
time: 5.203435182571411s, fps: 0.19218073540138234
time: 5.618501663208008s, fps: 0.1779833948521122
time: 5.844134330749512s, fps: 0.17111174100471946
time: 5.643967390060425s, fps: 0.1771803291707704
time: 5.526116847991943s, fps: 0.180958895279852
time: 5.176947832107544s, fps: 0.19316400945707393
time: 5.305692911148071s, fps: 0.18847679591460095
time: 5.109801292419434s, fps: 0.1957023263279405
time: 5.324752330780029s, fps: 0.187802162030982
time: 5.563599348068237s, fps: 0.1797397579225784
time: 5.310928583145142s, fps: 0.1882909898607219
time: 5.164098501205444s, fps: 0.19364464093134012
time: 5.218881368637085s, fps: 0.19161194312817859
time: 5.3530895709991455s, fps: 0.1868080081113516
time: 5.537441253662109s, fps: 0.1805888232834369
time: 5.1890342235565186s, fps: 0.19271408838668416
time: 4.824018478393555s, fps: 0.20729605503770993
time: 5.202985763549805s, fps: 0.19219733542336986
time: 5.490284204483032s, fps: 0.18213993351809743
time: 5.32738471031189s, fps: 0.18770936479664435
time: 5.0207672119140625s, fps: 0.1991727474691604
time: 5.281748294830322s, fps: 0.18933124870391524
time: 5.600158929824829s, fps: 0.17856636079992103
time: 5.341853618621826s, fps: 0.18720093649028058
time: 5.288787841796875s, fps: 0.18907924271362872
time: 5.105892896652222s, fps: 0.19585213012510888
time: 5.008925199508667s, fps: 0.19964362815761183
time: 5.20655632019043s, fps: 0.19206553017051106
time: 5.207208871841431s, fps: 0.19204146109974823
time: 5.382307529449463s, fps: 0.18579391729819764
time: 5.624753952026367s, fps: 0.17778555444896238
time: 5.418224334716797s, fps: 0.1845623101266937
time: 5.192340850830078s, fps: 0.1925913626876275
time: 4.9693827629089355s, fps: 0.20123223500993279
time: 5.014531850814819s, fps: 0.19942041046912654
time: 5.124627113342285s, fps: 0.19513614900807863
time: 5.2799952030181885s, fps: 0.18939411146214163
time: 5.621446371078491s, fps: 0.17789016099928515
time: 5.135037660598755s, fps: 0.19474053864746108
time: 5.298927307128906s, fps: 0.1887174407270413
time: 5.675622463226318s, fps: 0.1761921280844935
